Accuracy,AUROC,Sensitivity,Specificity,PPV,NPV,F1-Score
0.7947882736156352,0.8178215579710146,0.7565217391304347,0.8177083333333334,0.7131147540983607,0.8486486486486486,0.7341772151898734
0.8029315960912052,0.8340126811594203,0.782608695652174,0.8151041666666666,0.7171314741035857,0.8622589531680441,0.7484407484407485
0.7850162866449512,0.811033740942029,0.7695652173913043,0.7942708333333334,0.69140625,0.8519553072625698,0.7283950617283951
0.8224755700325733,0.8484884510869566,0.782608695652174,0.8463541666666666,0.7531380753138075,0.8666666666666667,0.767590618336887
0.7785016286644951,0.8079596920289855,0.7478260869565218,0.796875,0.688,0.8406593406593407,0.7166666666666667
0.7996742671009772,0.8378396739130435,0.8217391304347826,0.7864583333333334,0.6974169741697417,0.880466472303207,0.7544910179640718
0.7833876221498371,0.8116451539855073,0.7608695652173914,0.796875,0.691699604743083,0.8476454293628809,0.7246376811594203
0.8192182410423453,0.8545346467391304,0.8260869565217391,0.8151041666666666,0.7279693486590039,0.886685552407932,0.7739307535641547
0.7980456026058632,0.8196048460144927,0.7739130434782608,0.8125,0.712,0.8571428571428571,0.7416666666666667
0.8143322475570033,0.8421591938405797,0.8043478260869565,0.8203125,0.7283464566929134,0.875,0.7644628099173554
0.7915309446254072,0.8363960597826086,0.7913043478260869,0.7916666666666666,0.6946564885496184,0.8636363636363636,0.7398373983739838
0.7980456026058632,0.8226958786231885,0.7739130434782608,0.8125,0.712,0.8571428571428571,0.7416666666666667
0.8127035830618893,0.8423346920289855,0.8,0.8203125,0.7272727272727273,0.8725761772853186,0.7619047619047619
0.7866449511400652,0.8183140851449275,0.7782608695652173,0.7916666666666666,0.6911196911196911,0.856338028169014,0.7321063394683026
0.8338762214983714,0.8704596920289855,0.8521739130434782,0.8229166666666666,0.7424242424242424,0.9028571428571428,0.7935222672064778
0.7833876221498371,0.8139266304347825,0.7130434782608696,0.8255208333333334,0.70995670995671,0.8276762402088773,0.7114967462039046
0.8127035830618893,0.8326200181159421,0.8043478260869565,0.8177083333333334,0.7254901960784313,0.8746518105849582,0.7628865979381443
0.7915309446254072,0.8136209239130436,0.8043478260869565,0.7838541666666666,0.6902985074626866,0.869942196531792,0.7429718875502008
0.8469055374592834,0.8718636775362318,0.8478260869565217,0.8463541666666666,0.7677165354330708,0.9027777777777778,0.8057851239669421
0.8257328990228013,0.8424705615942029,0.8217391304347826,0.828125,0.7411764705882353,0.8857938718662952,0.7793814432989691
0.8078175895765473,0.8391813858695651,0.8260869565217391,0.796875,0.7089552238805971,0.884393063583815,0.7630522088353414
0.7996742671009772,0.8147758152173913,0.8391304347826087,0.7760416666666666,0.6917562724014337,0.8895522388059701,0.7583497053045186
0.7833876221498371,0.8289968297101449,0.8521739130434782,0.7421875,0.6644067796610169,0.8934169278996865,0.7466666666666667
0.8029315960912052,0.8355072463768117,0.7739130434782608,0.8203125,0.7206477732793523,0.8583106267029973,0.7463312368972747
0.8013029315960912,0.8474694293478261,0.7956521739130434,0.8046875,0.7093023255813954,0.8679775280898876,0.75
0.7931596091205212,0.8138134057971014,0.7652173913043478,0.8098958333333334,0.7068273092369478,0.852054794520548,0.7348643006263048
0.7866449511400652,0.8126415307971016,0.7956521739130434,0.78125,0.6853932584269663,0.8645533141210374,0.7364185110663984
0.7817589576547231,0.8151211503623189,0.7565217391304347,0.796875,0.6904761904761905,0.8453038674033149,0.7219917012448133
0.7768729641693811,0.8158684329710145,0.7695652173913043,0.78125,0.6781609195402298,0.8498583569405099,0.7209775967413442
0.8029315960912052,0.8359035326086957,0.8217391304347826,0.7916666666666666,0.7026022304832714,0.881159420289855,0.7575150300601202
0.8094462540716613,0.836413043478261,0.8,0.8151041666666666,0.7215686274509804,0.871866295264624,0.7587628865979381
0.8094462540716613,0.8298233695652175,0.7956521739130434,0.8177083333333334,0.7233201581027668,0.8698060941828255,0.7577639751552795
0.8029315960912052,0.8284986413043479,0.8173913043478261,0.7942708333333334,0.704119850187266,0.8789625360230547,0.7565392354124748
0.7899022801302932,0.8261548913043477,0.8043478260869565,0.78125,0.6877323420074349,0.8695652173913043,0.7414829659318637
0.7947882736156352,0.830564990942029,0.7739130434782608,0.8072916666666666,0.7063492063492064,0.856353591160221,0.7385892116182573
0.8045602605863192,0.8338258605072464,0.7956521739130434,0.8098958333333334,0.71484375,0.8687150837988827,0.7530864197530864
0.8045602605863192,0.821790081521739,0.808695652173913,0.8020833333333334,0.7099236641221374,0.875,0.7560975609756098
0.7964169381107492,0.8265228713768116,0.8347826086956521,0.7734375,0.6881720430107527,0.8865671641791045,0.7544204322200393
0.7915309446254072,0.829296875,0.7739130434782608,0.8020833333333334,0.7007874015748031,0.8555555555555555,0.7355371900826446
0.8224755700325733,0.8524682971014492,0.808695652173913,0.8307291666666666,0.7410358565737052,0.8787878787878788,0.7733887733887734
0.7947882736156352,0.8215353260869566,0.782608695652174,0.8020833333333334,0.703125,0.8603351955307262,0.7407407407407407
0.8208469055374593,0.8478600543478261,0.8173913043478261,0.8229166666666666,0.734375,0.88268156424581,0.7736625514403292
0.7801302931596091,0.8224750905797102,0.7913043478260869,0.7734375,0.6765799256505576,0.8608695652173913,0.7294589178356713
0.7866449511400652,0.8156872735507246,0.7652173913043478,0.7994791666666666,0.6956521739130435,0.850415512465374,0.7287784679089027
0.7980456026058632,0.8240432518115941,0.8,0.796875,0.7022900763358778,0.8693181818181818,0.7479674796747967
0.7752442996742671,0.798930027173913,0.7652173913043478,0.78125,0.676923076923077,0.847457627118644,0.7183673469387755
0.8127035830618893,0.8342900815217391,0.7913043478260869,0.8255208333333334,0.7309236947791165,0.8684931506849315,0.7599164926931107
0.8143322475570033,0.8272644927536231,0.7652173913043478,0.84375,0.7457627118644068,0.8571428571428571,0.7553648068669528
0.8013029315960912,0.8466315670289855,0.7956521739130434,0.8046875,0.7093023255813954,0.8679775280898876,0.75
0.7882736156351792,0.8303385416666668,0.8260869565217391,0.765625,0.6785714285714286,0.8802395209580839,0.7450980392156863
0.7964169381107492,0.824111186594203,0.8043478260869565,0.7916666666666666,0.6981132075471698,0.8710601719197708,0.7474747474747475
0.8127035830618893,0.8490206068840579,0.8173913043478261,0.8098958333333334,0.7203065134099617,0.8810198300283286,0.7657841140529531
0.8045602605863192,0.841796875,0.8260869565217391,0.7916666666666666,0.7037037037037037,0.8837209302325582,0.76
0.8387622149837134,0.8635360054347826,0.8434782608695652,0.8359375,0.754863813229572,0.8991596638655462,0.7967145790554415
0.7785016286644951,0.8254415760869566,0.808695652173913,0.7604166666666666,0.6690647482014388,0.8690476190476191,0.7322834645669292
0.8159609120521173,0.8480695199275361,0.8,0.8255208333333334,0.7330677290836654,0.8732782369146006,0.7650727650727651
0.7687296416938111,0.7851732336956522,0.7347826086956522,0.7890625,0.676,0.8324175824175825,0.7041666666666667
0.7996742671009772,0.8371659873188405,0.7565217391304347,0.8255208333333334,0.7219917012448133,0.8498659517426274,0.7388535031847133
0.8224755700325733,0.852253170289855,0.8521739130434782,0.8046875,0.7232472324723247,0.9008746355685131,0.782435129740519
0.8452768729641694,0.8725373641304348,0.8304347826086956,0.8541666666666666,0.7732793522267206,0.8937329700272479,0.80083857442348
