Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,AU,C,MP,config_file,draw_plots_flag,external_set,feature_selection,learning_rate,max_depth,max_iter,max_leaf_nodes,method,metric.goal,metric.name,model_name,name,num_configs,num_features,num_fold,num_folds,oversampling,parameters.C.distribution,parameters.C.max,parameters.C.min,parameters.config_file.distribution,parameters.config_files,parameters.external_set.distribution,parameters.external_sets,parameters.learning_rate.distribution,parameters.learning_rate.max,parameters.learning_rate.min,parameters.max_depth.distribution,parameters.max_depth.max,parameters.max_depth.min,parameters.max_iter.distribution,parameters.max_iter.max,parameters.max_iter.min,parameters.max_leaf_nodes.distribution,parameters.max_leaf_nodes.max,parameters.max_leaf_nodes.min,parameters.model_name.distribution,parameters.model_names,parameters.name.distribution,parameters.names,parameters.num_configs.distribution,parameters.num_configs.max,parameters.num_configs.min,parameters.num_features.distribution,parameters.num_features.max,parameters.num_features.min,parameters.num_folds.distribution,parameters.num_foldss,parameters.penalty.distribution,parameters.penaltys,parameters.random_state.distribution,parameters.random_state.max,parameters.random_state.min,parameters.solver.distribution,parameters.solvers,parameters.sorting_metric.distribution,parameters.sorting_metrics,parameters.tol.distribution,parameters.tol.max,parameters.tol.min,penalty,program,random_state,scaler,solver,sorting_metric,store_predictions,tol,Accuracy,F1 Score (Non PD),F1 Score (PD),Model Name,NPV,Precision/PPV,ROC AUC,Recall/Sensitivity,Specificity
deep-sweep-4833,,finished,-,,,2024-12-07T04:28:16.000Z,80,rdkgmyly,,,,,,superPARK,,0.316893856158445,83,,32,,,,HistGradientBoosting,,,39,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,,,pvalue,,,76.08,80.42,69.26,HistGradientBoosting,81.27,68.15,79.51,70.42,79.59
helpful-sweep-11890,,finished,-,,,2024-12-07T12:15:40.000Z,70,rdkgmyly,,,,,,superPARK,,0.055222363717174,49,,19,,,,HistGradientBoosting,,,24,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,,,pvalue,,,76.08,80.26,69.64,HistGradientBoosting,81.77,67.72,78.56,71.67,78.81
celestial-sweep-10940,,finished,-,,,2024-12-07T11:12:59.000Z,91,rdkgmyly,,,,,,superPARK,,0.1133766627041274,33,,32,,,,HistGradientBoosting,,,42,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5079,,,pvalue,,,76.08,80.05,70.12,HistGradientBoosting,82.47,67.18,78.84,73.33,77.78
chocolate-sweep-1276,,finished,-,,,2024-12-07T00:13:01.000Z,63,rdkgmyly,,,,,,superPARK,,0.1105432347279478,81,,11,,,,HistGradientBoosting,,,41,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7118,,,coeff,,,76.08,79.56,71.15,HistGradientBoosting,84.15,66.07,78.79,77.08,75.45
generous-sweep-8690,,finished,-,,,2024-12-07T08:41:57.000Z,89,rdkgmyly,,,,,,superPARK,,0.1325382493274105,96,,43,,,,HistGradientBoosting,,,29,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4516,,,coeff,,,76.08,80.92,67.95,HistGradientBoosting,79.7,69.74,78.96,66.25,82.17
iconic-sweep-11673,,finished,-,,,2024-12-07T12:01:16.000Z,57,rdkgmyly,,,,,,superPARK,,0.0262402199916538,45,,9,,,,HistGradientBoosting,,,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7944,,,pvalue,,,76.08,80.67,68.62,HistGradientBoosting,80.46,68.91,80.6,68.33,80.88
apricot-sweep-4487,,finished,-,,,2024-12-07T04:05:56.000Z,69,rdkgmyly,,,,,,superPARK,,0.0311198824667238,88,,18,,,,HistGradientBoosting,,,32,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,,,coeff,,,76.08,79.51,71.26,HistGradientBoosting,84.35,65.96,78.59,77.5,75.19
wise-sweep-5928,,finished,-,,,2024-12-07T05:39:04.000Z,81,rdkgmyly,,,,,,superPARK,,0.1136817460842028,33,,21,,,,HistGradientBoosting,,,33,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5999,,,pvalue,,,76.08,80.05,70.12,HistGradientBoosting,82.47,67.18,80.42,73.33,77.78
lemon-sweep-12979,,finished,-,,,2024-12-07T13:27:08.000Z,73,rdkgmyly,,,,,,superPARK,,0.0712390887182592,91,,20,,,,HistGradientBoosting,,,30,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6383,,,pvalue,,,76.08,79.95,70.36,HistGradientBoosting,82.83,66.92,79.27,74.17,77.26
northern-sweep-12151,,finished,-,,,2024-12-07T12:32:53.000Z,91,rdkgmyly,,,,,,superPARK,,0.2197643230851161,23,,29,,,,HistGradientBoosting,,,37,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756,,,pvalue,,,76.08,80.42,69.26,HistGradientBoosting,81.27,68.15,80.1,70.42,79.59
clean-sweep-1859,,finished,-,,,2024-12-07T00:55:27.000Z,115,rdkgmyly,,,,,,superPARK,,0.0462832033867079,75,,45,,,,HistGradientBoosting,,,42,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3952,,,pvalue,,,76.08,80.21,69.76,HistGradientBoosting,81.94,67.58,79.77,72.08,78.55
